Money Train (1995),2.51
Spy Hard (1996),2.51
Mr. Jones (1993),2.5
Baby-Sitters Club,2.5
Endless Summer 2,2.5
I Love Trouble (1994),2.5
Turning,2.5
Waiting to Exhale (1995),2.5
Another Stakeout (1993),2.5
Love and Death on Long Island (1997),2.5
Marked for Death (1990),2.5
American Dream (1990),2.5
Convent,2.5
City of Industry (1997),2.5
Albino Alligator (1996),2.5
Underworld (1997),2.5
Rough Magic (1995),2.5
Half Baked (1998),2.5
Sunset Park (1996),2.5
Shooting Fish (1997),2.5
Frankie Starlight (1995),2.5
Spirits of the Dead (Tre passi nel delirio) (1968),2.5
New York Cop (1996),2.5
Lay of the Land,2.5
Unhook the Stars (1996),2.5
Outlaw,2.5
Wild Bill (1995),2.5
Open Season (1996),2.5
Twilight (1998),2.5
Dear God (1996),2.5
Killer (Bulletproof Heart) (1994),2.5
Low Down Dirty Shame,2.5
An Unforgettable Summer (1994),2.5
Loch Ness (1995),2.5
Big Green,2.5
