Wag the Dog (1997),3.51
Sleepers (1996),3.51
Sneakers (1992),3.51
Colonel Chabert,3.5
Queen Margot (Reine Margot,3.5
Little City (1998),3.5
Slingshot,3.5
Grateful Dead (1995),3.5
N\E9nette et Boni (1996),3.5
Hate (Haine,3.5
Dark City (1998),3.5
Maybe,3.5
Sabrina (1995),3.5
Incognito (1997),3.5
Men With Guns (1997),3.5
Dumbo (1941),3.5
Visitors,3.5
Crooklyn (1994),3.5
20,3.5
Moll Flanders (1996),3.5
Twisted (1996),3.5
Carrie (1976),3.5
Assignment,3.5
Body Snatcher,3.5
Beans of Egypt,3.5
King of the Hill (1993),3.5
