It Happened One Night (1934),4.01
Sense and Sensibility (1995),4.01
Terminator 2: Judgment Day (1991),4.01
Hamlet (1996),4.01
Nikita (La Femme Nikita) (1990),4.01
Return of the Jedi (1983),4.01
Cosi (1996),4.0
Nico Icon (1995),4.0
Butcher Boy,4.0
Duck Soup (1933),4.0
Hard Eight (1996),4.0
Desert Winds (1995),4.0
C\E9r\E9monie,4.0
Priest (1994),4.0
I Don't Want to Talk About It (De eso no se habla) (1993),4.0
Safe (1995),4.0
Perfect Candidate,4.0
Witness (1985),4.0
Spanish Prisoner,4.0
Golden Earrings (1947),4.0
Jupiter's Wife (1994),4.0
Death in Brunswick (1991),4.0
Fille seule,4.0
His Girl Friday (1940),4.0
Babe (1995),4.0
Margaret's Museum (1995),4.0
Object of My Affection,4.0
Whole Wide World,4.0
Wings of Desire (1987),4.0
Gate of Heavenly Peace,4.0
For Whom the Bell Tolls (1943),4.0
Wonderful,4.0
Wings of Courage (1995),4.0
Farmer & Chase (1995),4.0
He Walked by Night (1948),4.0
Killer: A Journal of Murder (1995),4.0
Mamma Roma (1962),4.0
World of Apu,4.0
M (1931),4.0
Lady of Burlesque (1943),4.0
Dial M for Murder (1954),4.0
Wedding Gift,4.0
Damsel in Distress,4.0
Brothers in Trouble (1995),4.0
Tokyo Fist (1995),4.0
Big Bang Theory,4.0
Window to Paris (1994),4.0
Celestial Clockwork (1994),4.0
